leverancier;vastrecht;verkoopprijs;verkoop binnen salderen;verkoop buiten salderen;vergoeding binnen salderen;vergoedingbuiten salderen;;
zonneplan; € 6,250 ; € 0,0200 ;€ 0,0200;€ 0,0200;€ 0,0400;€ 0,0400;;
NextEnergy; € 5,990 ; € 0,0219 ;€ 0,0000;€ 0,0000;€ 0,0219;€ 0,0219;;
Frank Energie; € 7,250 ; € 0,0182 ;€ 0,0182;€ 0,0182;€ 0,0364;€ 0,0364;;
Energiek; € 5,990 ; € 0,0180 ;-€ 0,0180;-€ 0,0180;€ 0,0000;€ 0,0000;;
PowerPeers; € 6,250 ; € 0,0100 ;€ 0,0000;-€ 0,0100;€ 0,0100;€ 0,0000;;
Tibber; € 5,990 ; € 0,0248 ;€ 0,0000;€ 0,0000;€ 0,0248;€ 0,0248;;
Sunergy; € 7,500 ; € 0,0224 ;-€ 0,0224;-€ 0,0224;€ 0,0000;€ 0,0000;;
easyEnergy; € 7,000 ; € 0,0218 ;€ 0,0218;-€ 0,0218;€ 0,0436;€ 0,0000;;
Engie; € 6,950 ; € 0,0190 ;€ 0,0190;-€ 0,0190;€ 0,0380;€ 0,0000;;
Quatt; € 7,500 ; € 0,0182 ;-€ 0,0182;-€ 0,0182;€ 0,0000;€ 0,0000;;
BudgetEnergie; € 5,990 ; € 0,0168 ;€ 0,0000;€ 0,0000;€ 0,0168;€ 0,0168;;
Pure Energie; € 2,920 ; € 0,0300 ;-€ 0,0300;€ 0,0000;€ 0,0000;€ 0,0300;;
Hegg; € 7,500 ; € 0,0339 ;€ 0,0339;€ 0,0000;€ 0,0678;€ 0,0339;;
Noord; € 4,820 ; € 0,0194 ;-€ 0,0194;-€ 0,0194;€ 0,0000;€ 0,0000;;
Groenpand; € 8,470 ; € 0,0242 ;€ 0,0000;€ 0,0242;€ 0,0242;€ 0,0484;;
Eneco; € 7,000 ; € 0,0241 ;€ 0,0241;-€ 0,0241;€ 0,0482;€ 0,0000;;
Vandebron; € 6,250 ; € 0,0219 ;€ 0,0219;-€ 0,0136;€ 0,0438;€ 0,0083;;
Vattenfall; € 7,950 ; € 0,0255 ;€ 0,0255;€ 0,0000;€ 0,0510;€ 0,0255;;
OM; € 8,570 ; € 0,0250 ;-€ 0,0250;-€ 0,0250;€ 0,0000;€ 0,0000;;
GreenChoice; € 7,500 ; € 0,0224 ;-€ 0,0224;-€ 0,0224;€ 0,0000;€ 0,0000;;
Coolblue; € 6,200 ; € 0,0227 ;€ 0,0000;€ 0,0000;€ 0,0227;€ 0,0227;;
EnergieVanOns; € 6,990 ; € 0,0290 ;-€ 0,0290;-€ 0,0290;€ 0,0000;€ 0,0000;;
HalloStroom; € 6,250 ; € 0,0200 ;-€ 0,0200;-€ 0,0200;€ 0,0000;€ 0,0000;;
Innova Energie; € 6,580 ; € 0,0251 ;-€ 0,0306;-€ 0,0306;-€ 0,0055;-€ 0,0055;;
Delta; € 8,490 ; € 0,0126 ;€ 0,0000;€ 0,0000;€ 0,0126;€ 0,0126;;
Anwb; € 8,500 ; € 0,0180 ;€ 0,0180;€ 0,0000;€ 0,0360;€ 0,0180;;
Samsam; € 7,990 ; € 0,0399 ;€ 0,0399;€ 0,0000;€ 0,0798;€ 0,0399;;
Balans; € 6,650 ; € 0,0200 ;-€ 0,0200;-€ 0,0200;€ 0,0000;€ 0,0000;;
EnergyZero; € 7,500 ; € 0,0224 ;-€ 0,0224;-€ 0,0224;€ 0,0000;€ 0,0000;;
Essent; € 7,500 ; € 0,0253 ;€ 0,0253;-€ 0,0253;€ 0,0506;€ 0,0000;;
Energiedirect; € 6,990 ; € 0,0205 ;€ 0,0205;-€ 0,0205;€ 0,0410;€ 0,0000;;
SolarEdge; € 7,500 ; € 0,0224 ;-€ 0,0224;-€ 0,0224;€ 0,0000;€ 0,0000;;
TinQ; € 5,750 ; € 0,0245 ;-€ 0,0245;-€ 0,0245;€ 0,0000;€ 0,0000;
